preprocess_schema_version,input_run_identity_sha256,row_id,trial_id,work_id,source_trial_id,source_type,view,text_view,segment_index,text,text_sha256,prompt_text,segment_prompt_id,segment_prompt_category,segment_prompt_text,evidence_status,evidence_family,study_phase,protocol_contract_revision,result_schema_revision,model_id,source_model_id,payload_name,payload_class,payload_split,prompt_id,prompt_category,language,protocol_variant,representation_name,codec_id,control_view,replay_mode,transformation_id,robustness_family,transform_work_id,transformation_model_id,transformation_record_sha256,token_count,character_count,mean_log_probability,log_probability_availability,effective_payload_rate,nested_within_payload
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__bfb3f54bdc5edf0639ef2dff,revision_v1_multilingual_v2_payload_fidelity_v2__3f2f9a97575b8264b82e,revision_v1_multilingual_v2_payload_fidelity_v2__3f2f9a97575b8264b82e,,rankcloak,forced_span,forced_span,0,"...</estate>`

**Saluta amigo ¿Qué estamos gracias por?!  :D Tal ves a..., un luchif es lo planochesis: Descubre, un",b31e509ed959137361271467be9872a62bd1dce797fe01ebadfd0fb0c8b7e08d,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,es_casual_conversation_01,casual_conversation,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,direct_subword_calgacus,direct_subword,direct_subword,,,unmodified,,,,,35,116,-6.707588444201318,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__29ea721686e4b07c57f633a4,revision_v1_multilingual_v2_payload_fidelity_v2__3f2f9a97575b8264b82e,revision_v1_multilingual_v2_payload_fidelity_v2__3f2f9a97575b8264b82e,,rankcloak,full_message,full_message,0,"...</estate>`

**Saluta amigo ¿Qué estamos gracias por?!  :D Tal ves a..., un luchif es lo planochesis: Descubre, un",b31e509ed959137361271467be9872a62bd1dce797fe01ebadfd0fb0c8b7e08d,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,es_casual_conversation_01,casual_conversation,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,direct_subword_calgacus,direct_subword,direct_subword,,,unmodified,,,,,35,116,-6.707588444201318,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__0700a562e17f840c32533b67,revision_v1_multilingual_v2_payload_fidelity_v2__b737c5ca221480aae66f,revision_v1_multilingual_v2_payload_fidelity_v2__b737c5ca221480aae66f,revision_v1_multilingual_v2_payload_fidelity_v2__3f2f9a97575b8264b82e,ordinary_llm_control,full_message,full_message,0,"**

**Ejemplo:**

Hola, ¡qué bien que estés! Me parece que hace tiempo que no nos vemos y siempre hay algo que hablar. En este",282b5510d6bc7c26aaf134ba2ec5687a01484b428d56168d39b3b689d18ac1ad,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,es_casual_conversation_01,casual_conversation,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,ordinary_llm_control_multilingual_v2,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,ordinary_llm_control,direct_subword,direct_subword,full_message,,unmodified,,,,,35,126,-1.091546422260022,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__f45d1ed39a92090ddad6fce7,revision_v1_multilingual_v2_payload_fidelity_v2__aaeeec58094fcb91ca2f,revision_v1_multilingual_v2_payload_fidelity_v2__aaeeec58094fcb91ca2f,,rankcloak,forced_span,forced_span,0,"](es)""¿Querrias un plan divertidor o algo tranquilocito el weekend?""

(translate)

[""Wouldsya love for me and plan an interesting thing and some calm thing too on weekends""]</translate></td>

<td markdown>
<mark>""¡Hey amigo/ amiguera, qué pasaba?"".</translate>""
(""Hi friends!"") and ends in <b>Ahora, no sabes, el finde está a nuestro aliento.""</td>


<| translate=""false"">

This example uses an expository style (¡) followed immediately, without using punctuation or spaces.

< translate=""""| translate>
This translates as",fb8b849d43ad7e38245bb9fd7eaede09a135e26e632f1faf7cee43c59bf3d86b,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,es_casual_conversation_01,casual_conversation,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,nonseg_ascii_b16,ascii_b16,ascii_b16,,,unmodified,,,,,128,521,-4.6148409203151495,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__bb532bc3d6b3d243f3eaed98,revision_v1_multilingual_v2_payload_fidelity_v2__aaeeec58094fcb91ca2f,revision_v1_multilingual_v2_payload_fidelity_v2__aaeeec58094fcb91ca2f,,rankcloak,full_message,full_message,0,"](es)""¿Querrias un plan divertidor o algo tranquilocito el weekend?""

(translate)

[""Wouldsya love for me and plan an interesting thing and some calm thing too on weekends""]</translate></td>

<td markdown>
<mark>""¡Hey amigo/ amiguera, qué pasaba?"".</translate>""
(""Hi friends!"") and ends in <b>Ahora, no sabes, el finde está a nuestro aliento.""</td>


<| translate=""false"">

This example uses an expository style (¡) followed immediately, without using punctuation or spaces.

< translate=""""| translate>
This translates as",fb8b849d43ad7e38245bb9fd7eaede09a135e26e632f1faf7cee43c59bf3d86b,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,es_casual_conversation_01,casual_conversation,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,nonseg_ascii_b16,ascii_b16,ascii_b16,,,unmodified,,,,,128,521,-4.6148409203151495,recorded,4.0,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__e72a9430f9f2a280385799e4,revision_v1_multilingual_v2_payload_fidelity_v2__0ea679007f6c70911cea,revision_v1_multilingual_v2_payload_fidelity_v2__0ea679007f6c70911cea,revision_v1_multilingual_v2_payload_fidelity_v2__aaeeec58094fcb91ca2f,ordinary_llm_control,full_message,full_message,0,"**

Hola, ¿cómo estás?

Espero que el fin de semana te traiga momentos tranquilos y relajantes. Yo he planeado algo similar. Como soy una persona que disfruta de la naturaleza, he decidido hacer un paseo por el parque y disfrutar del sol y el aire fresco. Luego, me voy a sentar en un lugar tranquilo a leer un libro y a disfrutar de un café con helado.

¿Y tú? ¿Tienes planes para este fin de semana? ¿Qué te gusta hacer para relajarte? Me gustaría saberlo y",2d28b5a75bd3b292d495eee0b3d687de740b70353734c79c850524d2c38e8c43,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,es_casual_conversation_01,casual_conversation,Escribe un mensaje amistoso a una persona conocida sobre planes tranquilos para el fin de semana. Usa un español cotidiano y termina las ideas de forma natural.,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,ordinary_llm_control_multilingual_v2,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,ordinary_llm_control,ascii_b16,ascii_b16,full_message,,unmodified,,,,,128,459,-0.5782559017288005,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__5f0c44808b43ad5add8885fc,revision_v1_multilingual_v2_payload_fidelity_v2__1ae23c292e2c3f158648,revision_v1_multilingual_v2_payload_fidelity_v2__1ae23c292e2c3f158648,,rankcloak,forced_span,forced_span,0,"(&answered)
**Natural language support available thanks**

中文呀！

Happy friendship days!:



What have X planned? (free-flix 你们今年要几月底)",b331f611119ed1c0a20dee91b282896d6bcbbbc37161c177b96e899ab8d59a8d,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,zh_hans_casual_conversation_01,casual_conversation,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,zh_hans_casual_conversation_01,casual_conversation,zh_hans,direct_subword_calgacus,direct_subword,direct_subword,,,unmodified,,,,,35,133,-6.929110449922727,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__346774d1b366ba48b10d05d7,revision_v1_multilingual_v2_payload_fidelity_v2__1ae23c292e2c3f158648,revision_v1_multilingual_v2_payload_fidelity_v2__1ae23c292e2c3f158648,,rankcloak,full_message,full_message,0,"(&answered)
**Natural language support available thanks**

中文呀！

Happy friendship days!:



What have X planned? (free-flix 你们今年要几月底)",b331f611119ed1c0a20dee91b282896d6bcbbbc37161c177b96e899ab8d59a8d,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,zh_hans_casual_conversation_01,casual_conversation,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,zh_hans_casual_conversation_01,casual_conversation,zh_hans,direct_subword_calgacus,direct_subword,direct_subword,,,unmodified,,,,,35,133,-6.929110449922727,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__e5c23f3f84018a11f4063aed,revision_v1_multilingual_v2_payload_fidelity_v2__eb9271305628b1aef859,revision_v1_multilingual_v2_payload_fidelity_v2__eb9271305628b1aef859,revision_v1_multilingual_v2_payload_fidelity_v2__1ae23c292e2c3f158648,ordinary_llm_control,full_message,full_message,0,"  

**Example**

Hey! 😊

I was thinking of having a chill weekend. We could watch a movie, play some games, and just relax. Maybe we could",48acf47f3e45f9809c889823d4a7ec403ba42e00bea8f1618dcc132dc73f6771,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,zh_hans_casual_conversation_01,casual_conversation,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,ordinary_llm_control_multilingual_v2,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,zh_hans_casual_conversation_01,casual_conversation,zh_hans,ordinary_llm_control,direct_subword,direct_subword,full_message,,unmodified,,,,,35,138,-0.8184103533351171,recorded,,1
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,feature__eedb42094a3f8bca8bb31f3c,revision_v1_multilingual_v2_payload_fidelity_v2__80470bf1204f275e07c0,revision_v1_multilingual_v2_payload_fidelity_v2__80470bf1204f275e07c0,,rankcloak,forced_span,forced_span,0,"）
**
Weekdays fly sooo... Now my Friday afternoon finally comes to end and here we
start to count for this week.

My friend!

You have asked how to get the most fun for a free week. So this time I am gonna plan something light-hearted with myself on the upcoming
Friday evening to help myself enjoy and get a taste on a weekend feeling
asap

Firstly
we'll head for an afternoon picnic to a beautiful local garden I know, it is quite close. I've been to a picnic in there for several
weeks before this time but never took any friends, and today, let’s share",367b17995fd637135d34305f8cd8bd7f7885ac6d80d9aecb52a5b80001bd7788,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,zh_hans_casual_conversation_01,casual_conversation,写一段给朋友的自然消息，谈谈轻松的周末计划。使用日常语言，并把意思表达完整。,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,payload_fidelity_v2,payload_aware_result_v2,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,zh_hans_casual_conversation_01,casual_conversation,zh_hans,nonseg_ascii_b16,ascii_b16,ascii_b16,,,unmodified,,,,,128,556,-3.5861577353430287,recorded,,1
