candidate_id,condition,prompt_category,experiment_prompt_category,template_id,template_number,prompt_id,payload_id,payload_class,model_id,presentation_scope,protocol_variant,topic_schedule,source_work_id,source_trial_id,source_file,source_row,source_record_sha256,text_sha256,language,license_status,safety_screen_status,candidate_replicate,target_model_assignment
C000cc9f3cc335588ade5319a,rankcloak_segmented_full_message,casual_conversation,casual_conversation,casual_conversation_template_3,3,casual_neighborhood_chat,revision_v1_hmac_sha256_hex_011,hmac_sha256_hex,llama3_8b_instruct_q4_k_m,full_message,segmented_hex_single_topic,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__27307120e2ba10350b30,revision_v1_primary_v2_payload_fidelity_v2__27307120e2ba10350b30,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,1003,0b123b776db932a3801605aa3062b2dca530dd4c82c3a106947314a02410a260,2fdc8b904564155b022aad4e28ec5444a7c492d964beea28f3d765a23ccb9685,en,experiment_generated_internal,not_manually_reviewed,1,llama3_8b_instruct_q4_k_m
C002a738fee9e6eb1de981a42,rankcloak_ascii_b16,personal_narrative_blog,personal_narrative_blog,personal_narrative_blog_template_2,2,narrative_local_walk,revision_v1_hmac_sha256_hex_057,hmac_sha256_hex,llama3_8b_instruct_q4_k_m,full_message,nonseg_ascii_b16,None,revision_v1_primary_v2_payload_fidelity_v2__3eda3ee1ddfb70efa702,revision_v1_primary_v2_payload_fidelity_v2__3eda3ee1ddfb70efa702,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,1643,bc84fa2af1a1f6734b7bfc925316d514b7c5be424593a7556455257793227d13,a64f32c790e91d2474829d13187ea1458724f12cb473306052560e21ecd563e0,en,experiment_generated_internal,not_manually_reviewed,1,llama3_8b_instruct_q4_k_m
C003081fddd72ce54fc236032,rankcloak_ascii_b8,procedural_instructions,recipe_procedure,procedural_instructions_template_1,1,procedure_simple_meal,revision_v1_token_128_bit_hex_036,token_128_bit_hex,llama3_8b_instruct_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__1a09a5b21f77977139ac,revision_v1_primary_v2_payload_fidelity_v2__1a09a5b21f77977139ac,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,3027,adaeb9a8c6c4e5bc94c7e3a9634dd7e853aa91522ac599b8955e7a2135ba0b38,6ab8950e4864dc9c9b3c336e7fcea16a928050294d160fd17083a148aa1f3cfd,en,experiment_generated_internal,not_manually_reviewed,1,llama3_8b_instruct_q4_k_m
C00374f47ac9a77ba95f351ea,ordinary_llm_control,forum_question_answer,forum_question_answer,forum_question_answer_template_3,3,forum_learning_answer,revision_v1_nonce_96_bit_hex_018,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,full_message,ordinary_llm_control,,revision_v1_primary_v2_payload_fidelity_v2__055c1da37ddcdec702e7,revision_v1_primary_v2_payload_fidelity_v2__013d17d841d26f8b6e69,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,1942,d953232c6dea7855e5839ee316ba0abf0fa94d4209d4d392241ac6a356d5339a,b7c99cc030befc2cc21d9fba3d6032f40dcafc73c85679fe7b6d84e9d4a5784c,en,experiment_generated_internal,not_manually_reviewed,2,llama3_8b_instruct_q4_k_m
C006fab89e1a84e7197de2b54,rankcloak_hex_nibble,factual_explanatory_prose,factual_explanatory,factual_explanatory_prose_template_3,3,explain_biological_process,revision_v1_hmac_sha256_hex_050,hmac_sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__59f0e23d93f6208b5e77,revision_v1_primary_v2_payload_fidelity_v2__59f0e23d93f6208b5e77,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,1547,1eb2edbbaeee05ec300822f61d22d3e3c4eddb89f635d363a0f1f824cf152a62,2156b6bd6bb14327a3cfe0b82a1d8b314a29dfe4219861e36b8887790897bd32,en,experiment_generated_internal,not_manually_reviewed,1,mistral_7b_instruct_v0_3_q4_k_m
C0087e0484bc118fd2ba9371e,rankcloak_ascii_b8,professional_communication,professional_communication,professional_communication_template_2,2,professional_schedule_note,revision_v1_token_128_bit_hex_014,token_128_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__6fa129c2c934df6ccd3e,revision_v1_primary_v2_payload_fidelity_v2__6fa129c2c934df6ccd3e,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,2719,00671fe8c968129f466dbc328441011b524bb1287e0264360de06ce04e23499f,a5e441eeba1656558c31464b36342f0ff943c406b77b95becad231728d56a6d1,en,experiment_generated_internal,not_manually_reviewed,1,mistral_7b_instruct_v0_3_q4_k_m
C00a3bed6976964baf82640db,direct_subword_calgacus,professional_communication,professional_communication,professional_communication_template_1,1,professional_project_update,revision_v1_sha256_hex_048,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,direct_subword_calgacus,None,revision_v1_primary_v2_payload_fidelity_v2__69cbc6552a1661c53a5d,revision_v1_primary_v2_payload_fidelity_v2__69cbc6552a1661c53a5d,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,673,0129572ed7329baa856e17decd796c091c37d2982c2d1591557368b4b3544c70,3304a9173a7a212ba2ca25026943bb7d77732dcd934949270a34358d1d61759a,en,experiment_generated_internal,not_manually_reviewed,1,qwen2_5_7b_instruct_q4_k_m
C00e13229c26a6d1fc487c673,direct_subword_calgacus,casual_conversation,casual_conversation,casual_conversation_template_2,2,casual_hobby_chat,revision_v1_nonce_96_bit_hex_034,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,full_message,direct_subword_calgacus,None,revision_v1_primary_v2_payload_fidelity_v2__354cef2f824414b0bcd1,revision_v1_primary_v2_payload_fidelity_v2__354cef2f824414b0bcd1,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,2157,54705a44314bdbd654a6333f68088ba0329c669b9ab0208ec23b31d60b35f26e,99435d318b88e5975b868bc1ccee956bba4821ce28125db5849263b4133ed37d,en,experiment_generated_internal,not_manually_reviewed,2,llama3_8b_instruct_q4_k_m
C00fb47fd7d3d95b3077f2358,rankcloak_ascii_b8,professional_communication,professional_communication,professional_communication_template_2,2,professional_schedule_note,revision_v1_sha256_hex_035,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__45e5e0064b72bdef74e8,revision_v1_primary_v2_payload_fidelity_v2__45e5e0064b72bdef74e8,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,493,c30cd4c1c527227bdbe3fc72cd0dd06546018b0954d65bf6c682f9c3d78f705b,26c77bfddf08e400e978ab9917cc6bb0f683e5650c3f872daec6cc5e5730d187,en,experiment_generated_internal,not_manually_reviewed,2,mistral_7b_instruct_v0_3_q4_k_m
C012c1bfad1f147a70f72155c,rankcloak_segmented_forced_span,forum_question_answer,forum_question_answer,forum_question_answer_template_3,3,forum_learning_answer,revision_v1_sha256_hex_043,sha256_hex,qwen2_5_7b_instruct_q4_k_m,forced_span,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__ead5027858cfe75d59a8,revision_v1_primary_v2_payload_fidelity_v2__ead5027858cfe75d59a8,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,614,afa42e190e19ab697f5fd5e476c1c86142aa7d00b3183263b5c689b047234c03,7b93c76ba71ca7b5d8c6a86d06a0928141619ed7278ba9d2e7e4abe816e07ed7,en,experiment_generated_internal,not_manually_reviewed,1,qwen2_5_7b_instruct_q4_k_m
