model_id,schedule,payload_class,selected_payload,structural_boundaries,eligible_boundaries,excluded_boundaries,reasons
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,False,296,285,11,"{'shuffled:evaluator_boundary_straddle': 10, 'short_actual_words': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,True,184,174,10,"{'actual:evaluator_boundary_straddle': 1, 'shuffled:evaluator_boundary_straddle': 8, 'short_actual_words': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,False,111,106,5,"{'shuffled:evaluator_boundary_straddle': 4, 'short_actual_words': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,True,69,66,3,"{'shuffled:evaluator_boundary_straddle': 2, 'short_actual_words': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,False,296,281,15,"{'short_actual_words': 4, 'shuffled:evaluator_boundary_straddle': 11}"
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,True,184,178,6,"{'shuffled:evaluator_boundary_straddle': 5, 'short_actual_words': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,False,148,144,4,"{'short_actual_words': 2, 'shuffled:evaluator_boundary_straddle': 2}"
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,True,92,89,3,{'shuffled:evaluator_boundary_straddle': 3}
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,False,296,288,8,"{'shuffled:evaluator_boundary_straddle': 6, 'short_actual_words': 2}"
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,True,184,178,6,"{'shuffled:evaluator_boundary_straddle': 3, 'short_actual_words': 2, 'actual:evaluator_boundary_straddle': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,False,111,105,6,"{'short_actual_words': 2, 'shuffled:evaluator_boundary_straddle': 4}"
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,True,69,66,3,"{'shuffled:evaluator_boundary_straddle': 2, 'short_actual_words': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,False,296,278,18,"{'short_actual_words': 5, 'shuffled:evaluator_boundary_straddle': 12, 'actual:evaluator_boundary_straddle': 1}"
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,True,184,175,9,{'shuffled:evaluator_boundary_straddle': 9}
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,False,148,143,5,"{'shuffled:evaluator_boundary_straddle': 3, 'short_actual_words': 2}"
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,True,92,89,3,{'shuffled:evaluator_boundary_straddle': 3}
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,False,296,203,93,"{'actual:evaluator_boundary_straddle': 40, 'ordinary:evaluator_boundary_straddle': 50, 'shuffled:evaluator_boundary_straddle': 9, 'short_actual_words': 7}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,True,184,133,51,"{'actual:evaluator_boundary_straddle': 19, 'ordinary:evaluator_boundary_straddle': 26, 'shuffled:evaluator_boundary_straddle': 5, 'short_actual_words': 5}"
