row_id,pair_id,payload_group_id,label,partition,model_id,codec_id,payload_class,prompt_template_id,representation_name,generation_study,evaluation_id,study_source,gate_level,quantization,plan_id,pairing_unit_id,normalized_text_sha256,dedup_cluster_id
quantization_generated__quantization_trial__0015a3bf833eddda46c45970,detector_pair__0a5dcbaddd3ef55f4ea18fdb,revision_v1_nonce_96_bit_hex_054,0,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,procedure_simple_meal,ascii_b16,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__0015a3bf833eddda46c45970,quantization_pair__23f9732287300b006328ff49,f70b6f04b5f4ee8732cba129b7cb219c0890b4b2c5feb14039e4bb9367db5c32,locked-dedup-cluster-7c650d38321313478e14a048
quantization_generated__quantization_trial__001628fb3c89ab132f39580b,detector_pair__279e942b09d6e6c37f231eea,revision_v1_uuid_v4_042,1,validation,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,uuid_v4,explain_weather_pattern,ascii_b8,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__001628fb3c89ab132f39580b,quantization_pair__be28da44b9227515a19b33bb,d9e04e9136222110cc8dd162828c02f280714bd285678b220470de1533fe90a0,locked-dedup-cluster-21c1f1723b6238ac14216880
quantization_generated__quantization_trial__00236aacb00c1a32f4250621,detector_pair__9892cf4401179f56b5cd9d8f,revision_v1_token_128_bit_hex_057,0,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,token_128_bit_hex,professional_schedule_note,ascii_b8,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__00236aacb00c1a32f4250621,quantization_pair__89bf50d83d95bfa0cfc0cd6b,a2cc30f8d4822fd6be8ddce5436e0350313dcd2506a7d8041e4918573a41f6ae,locked-dedup-cluster-e303bfe023e32c25389ebaf9
quantization_generated__quantization_trial__002821966201ec3dfd162d50,detector_pair__8186e9a021a857ce00436ae2,revision_v1_aes256_gcm_base64_043,1,validation,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,aes256_gcm_base64,professional_schedule_note,ascii_b16,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__002821966201ec3dfd162d50,quantization_pair__a2e9673038c8bcb743683a5a,e52d653a7219fd0f5ce098cc9b3ac400dc62907050faa0988ae422fb5ac13bc8,locked-dedup-cluster-b021f708a83df097e9b0dc22
quantization_generated__quantization_trial__003085799a10ba584731ff91,detector_pair__bc36e3a51929cbc85f4c3e7f,revision_v1_sha256_hex_000,0,train,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,professional_schedule_note,ascii_b16,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__003085799a10ba584731ff91,quantization_pair__96b1a55e13a77f420139f8c2,8f4daa81b8c32dfd767a34500a7312d13d60a34fef6fbadae73e06f2f0b6de2c,locked-dedup-cluster-54d0f843ac4646811be4dfd1
quantization_generated__quantization_trial__003aaa8bb047f76fc60d62d1,detector_pair__9ad966a221fcc367ffb8ad80,revision_v1_nonce_96_bit_hex_013,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,nonce_96_bit_hex,narrative_learning_moment,ascii_b16,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q8_0,quantization_trial__003aaa8bb047f76fc60d62d1,quantization_pair__9e707bd3af161e8816d75a4e,9034d3fdcee9be3b0d60851504a1c303122789ec2d6919f948fab55e95ac3f7f,locked-dedup-cluster-95e2f27c2b585a3d4fdfda70
quantization_generated__quantization_trial__005c6dd70bbf67ed437958f9,detector_pair__94a12cabf91cd7200992c94f,revision_v1_chacha20_poly1305_base64_003,1,train,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,chacha20_poly1305_base64,narrative_local_walk,ascii_b16,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__005c6dd70bbf67ed437958f9,quantization_pair__8d73fb31e42057a6504295c7,957b692c7a04a805b734adab6797cd4a77e2d4ab7aff1bf256765e31af782793,locked-dedup-cluster-418e1dfdad8a13fa38873592
quantization_generated__quantization_trial__007559b43488dce001de680a,detector_pair__102bcd3b5dfdfc66169ac992,revision_v1_sha256_hex_030,0,train,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,professional_project_update,ascii_b16,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__007559b43488dce001de680a,quantization_pair__3d1607085acdfc012bbfbb3a,85fef7111b61331c30200d07e98bd82281ad01eda165b1f4ba5be4decee56b1e,locked-dedup-cluster-436b61eb0048318126940f75
quantization_generated__quantization_trial__00815d0062bd651862e85d25,detector_pair__fdaf58ddc5e03e479c33ca0e,revision_v1_token_128_bit_hex_056,0,test,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,token_128_bit_hex,casual_hobby_chat,ascii_b16,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q8_0,quantization_trial__00815d0062bd651862e85d25,quantization_pair__5a28f62efcf748ad13ea6a38,7b2d61c04a9428ae9002395098935cbbef2250cd96a545ba0134fb1fa294fdc7,locked-dedup-cluster-21724430ac9765521f1234e5
quantization_generated__quantization_trial__0089c04674eff8abb069d818,detector_pair__c50a8602ff120030c89038db,revision_v1_hmac_sha256_hex_044,0,validation,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,narrative_small_discovery,ascii_b8,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__0089c04674eff8abb069d818,quantization_pair__6b92b0a56116452c9ef793d0,9bae2f2b24db9587343c2df28a560dee7dcb978b6e79278404cdea1a5b1ea18b,locked-dedup-cluster-82fec35853ec8d44cf04cce4
quantization_generated__quantization_trial__00a400085bee496f1e3ad1bb,detector_pair__172d1ae03e26a50c5da5b36a,revision_v1_ed25519_signature_base64_033,1,train,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,explain_everyday_system,ascii_b8,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__00a400085bee496f1e3ad1bb,quantization_pair__2f7e3b6ba94682b15a82d95e,7007cbbd6fa572b02b9131db57a7b13c3902cf5c1e1a29f640c83d14f3c0b765,locked-dedup-cluster-1658921bbd26cede8f32a38a
quantization_generated__quantization_trial__00aa7e850bc6047e01ee23f7,detector_pair__917366de817ce3ad26e29f7a,revision_v1_aes256_gcm_base64_010,0,train,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,aes256_gcm_base64,narrative_local_walk,ascii_b8,quantization,pooled_quantizations,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__00aa7e850bc6047e01ee23f7,quantization_pair__cec706a0406ba9362a499337,dc9278c8528f43a9ee0eea61aecdc735de065e3fd71c736a1a37f2692b005e96,locked-dedup-cluster-533495c4f60d6dccefa19155
