pair_number,left_position,right_position,left_row_id,right_row_id,left_payload_group_id,right_payload_group_id,same_payload_group,left_label,right_label,left_text_sha256,right_text_sha256,left_normalized_text_sha256,right_normalized_text_sha256,normalized_text_exact,cosine_similarity,left_prompt_template_id,right_prompt_template_id,left_model_id,right_model_id,left_codec_id,right_codec_id
1,291,4741,detector_pair__d9d1a32015a054ab76155810__ordinary_control,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_030,False,0,0,20543dabaf5d01c454dfeab08b12729417b8b2e75580f9f83682d2dacda3511f,b583ecef8f618a2b80a7262d4ee5e9f44b4c56e8b1450605bda315c383cdaec8,4e7a827df7f5968871d19b8762f9bb4e24848035e0dcb01ef83ebe8c79c0f743,7f7335b21423085d1e9a85ce6f8788877dcccde5f953c2ed5efcfa8e1da829b1,False,0.9769361019134521,casual_weekend_chat,casual_neighborhood_chat,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,direct_subword_calgacus
2,291,4569,detector_pair__d9d1a32015a054ab76155810__ordinary_control,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_001,False,0,0,20543dabaf5d01c454dfeab08b12729417b8b2e75580f9f83682d2dacda3511f,190ff4710612f6d41f974a92dfcc2e7b75e3bbc66b8bbf225acf09abd1484c7f,4e7a827df7f5968871d19b8762f9bb4e24848035e0dcb01ef83ebe8c79c0f743,210a98a3b5078489c21cc20c27bba443384f9a54076ce88cdd6fe83512a84524,False,0.9725715517997742,casual_weekend_chat,professional_project_update,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,nonseg_ascii_b8
3,291,292,detector_pair__d9d1a32015a054ab76155810__ordinary_control,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,revision_v1_sha256_hex_018,revision_v1_sha256_hex_018,True,0,1,20543dabaf5d01c454dfeab08b12729417b8b2e75580f9f83682d2dacda3511f,bf6176f4e32678406d734389682120ce588870a9ad460d1704f691274bc165e3,4e7a827df7f5968871d19b8762f9bb4e24848035e0dcb01ef83ebe8c79c0f743,7ef53486cad802c7ff746fa122ef6b21f9de5f37d730f020fcdf6a496510a303,False,0.963990330696106,casual_weekend_chat,casual_weekend_chat,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,nonseg_ascii_b16
4,292,4741,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_030,False,1,0,bf6176f4e32678406d734389682120ce588870a9ad460d1704f691274bc165e3,b583ecef8f618a2b80a7262d4ee5e9f44b4c56e8b1450605bda315c383cdaec8,7ef53486cad802c7ff746fa122ef6b21f9de5f37d730f020fcdf6a496510a303,7f7335b21423085d1e9a85ce6f8788877dcccde5f953c2ed5efcfa8e1da829b1,False,0.9690811038017273,casual_weekend_chat,casual_neighborhood_chat,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,direct_subword_calgacus
5,292,4569,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_001,False,1,0,bf6176f4e32678406d734389682120ce588870a9ad460d1704f691274bc165e3,190ff4710612f6d41f974a92dfcc2e7b75e3bbc66b8bbf225acf09abd1484c7f,7ef53486cad802c7ff746fa122ef6b21f9de5f37d730f020fcdf6a496510a303,210a98a3b5078489c21cc20c27bba443384f9a54076ce88cdd6fe83512a84524,False,0.9640023708343506,casual_weekend_chat,professional_project_update,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,nonseg_ascii_b8
6,653,2833,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__cf60ade4ada0f167a7789989__ordinary_control,revision_v1_sha256_hex_040,revision_v1_nonce_96_bit_hex_057,False,0,0,cebbd1ac63b4252bd398df7c1e691f8345ee4b0130758a2ac52a799e5da4ff66,f41b438cde5a6bff2bb8140bc1b3771c052556d02f2cf4d6a63d0ba6368acc1f,f94b542bbb6678acbb5fd4293b9a8dc0abd9f03acf02d2eaf2664dd3b7b5b037,362b71c67cdc0b0e842fc3ab99b370d594ab5a0ae57ff78e307149b5c667eb2d,False,0.9950351119041443,narrative_small_discovery,explain_biological_process,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,direct_subword_calgacus
7,653,3599,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__73d5cdf69eee9fbc6323ad6b__ordinary_control,revision_v1_sha256_hex_040,revision_v1_token_128_bit_hex_044,False,0,0,cebbd1ac63b4252bd398df7c1e691f8345ee4b0130758a2ac52a799e5da4ff66,6b828b074cdd8e304330ee1253247ffdaacff827f9a33f3b26a6e38f2cca9cdf,f94b542bbb6678acbb5fd4293b9a8dc0abd9f03acf02d2eaf2664dd3b7b5b037,14fb8dd9ca0650a444c337a90cab9a46b02b12fbade3bdd13f50c432f329f56e,False,0.9950351119041443,narrative_small_discovery,explain_everyday_system,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,segmented_hex_multi_topic
8,653,5093,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__3cbe3ce25acbd2b468b67be1__ordinary_control,revision_v1_sha256_hex_040,revision_v1_ed25519_signature_base64_028,False,0,0,cebbd1ac63b4252bd398df7c1e691f8345ee4b0130758a2ac52a799e5da4ff66,fc8fb73126a92b2b1dbbdedfc0de69e1c71ea90c94d384b4a59a35b1c984f689,f94b542bbb6678acbb5fd4293b9a8dc0abd9f03acf02d2eaf2664dd3b7b5b037,1b54d39685500b02005fd0787af13dfa8bf68b1c5196ce84a6dd39f0fd5faef8,False,0.9950351119041443,narrative_small_discovery,explain_biological_process,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,nonseg_ascii_b16
9,653,3608,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__4dd411be27136f30f789a52d__rankcloak,revision_v1_sha256_hex_040,revision_v1_token_128_bit_hex_045,False,0,1,cebbd1ac63b4252bd398df7c1e691f8345ee4b0130758a2ac52a799e5da4ff66,d617fb5d4d04fa6b4c391642e61bd2e91f3075e61a99c097639f2964d87a739e,f94b542bbb6678acbb5fd4293b9a8dc0abd9f03acf02d2eaf2664dd3b7b5b037,40dbc5ed0f14b377c474a60bce39c0dad57a693f91d22fc0825c1c6bf693cecb,False,0.9902358651161194,narrative_small_discovery,casual_hobby_chat,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,segmented_hex_single_topic
10,653,3419,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__aa24cf8a1d6cdcbedd6bb63c__ordinary_control,revision_v1_sha256_hex_040,revision_v1_token_128_bit_hex_033,False,0,0,cebbd1ac63b4252bd398df7c1e691f8345ee4b0130758a2ac52a799e5da4ff66,41bdf1d80e671fd4fc9ced095b86cc4f81b48d2015ffe7a551017de0c8c12feb,f94b542bbb6678acbb5fd4293b9a8dc0abd9f03acf02d2eaf2664dd3b7b5b037,7fde23384bdaa9eec95a94c93e5f121851656da5846991abf70cc17d7c72218d,False,0.9557787775993347,narrative_small_discovery,casual_neighborhood_chat,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,segmented_hex_single_topic
