failure_id,trial_id,source_trial_id,robustness_family,replay_mode,transformation_id,mitigation_id,source_model_id,model_id,payload_name,prompt_category,segment_index,failure_category,failure_mechanism,mechanism_basis,mechanism_scope,first_differing_position,expected_token_id,recovered_token_id,expected_rank,recovered_rank,alphabet_size_B,recovered_rank_out_of_bound,token_length_changed,rank_length_changed,context_sha256,boundary_start_offset,boundary_end_offset,divergence_fields_availability
failure__ab632a01a1cda887fadef7ab,revision_v1_robustness_v2_payload_fidelity_v2__1d7a4aeeb5cf1ee31a17,revision_v1_ablation_v2_payload_fidelity_v2__a043259ef1b65eccb205,replay_modes,detokenized_text_retokenized,unmodified,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,6,replay_modes,detokenization_retokenization_divergence,detokenized text replay mode,descriptive_first_divergence_not_causal_proof,5,11623.0,53992.0,8,2.0,16,False,False,False,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,8,16,recorded
failure__9fe1212667ffaeec0085e8f6,revision_v1_robustness_v2_payload_fidelity_v2__34213aecdacc35a77812,revision_v1_ablation_v2_payload_fidelity_v2__c97b6a798c14362b7384,replay_modes,detokenized_text_retokenized,unmodified,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_010,personal_narrative_blog,3,replay_modes,detokenization_retokenization_divergence,detokenized text replay mode,descriptive_first_divergence_not_causal_proof,3,2637.0,39188.0,8,141.0,16,True,False,False,9cf325c1842a91c4a1c872b2c4fead34c7cdc19ed52cda8efc9bfd71037eb5e1,8,16,recorded
failure__8c8519873df30866e3a4bdcf,revision_v1_robustness_v2_payload_fidelity_v2__238bddd70b811c98cdfb,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,line_endings,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,0,raw_transmission,whitespace_or_markup_tokenization_divergence,line_endings,descriptive_first_divergence_not_causal_proof,0,198.0,319.0,8,,16,False,False,True,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,recorded
failure__d6128e2952577ae39887aa7d,revision_v1_robustness_v2_payload_fidelity_v2__9177099f93c9684fe984,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,whitespace_trim,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_trim,descriptive_first_divergence_not_causal_proof,0,1789.0,2520.0,8,40809.0,16,True,False,False,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,recorded
failure__41acebc92c61565a4d6af48a,revision_v1_robustness_v2_payload_fidelity_v2__61aa61a3cec6e5ac64db,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,whitespace_collapse,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_collapse,descriptive_first_divergence_not_causal_proof,0,1789.0,2520.0,8,40809.0,16,True,False,False,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,recorded
failure__7274665d3b14f2b3a0ccd8c5,revision_v1_robustness_v2_payload_fidelity_v2__a21e89f28d3c11105777,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,quote_conversion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,1,raw_transmission,quotation_tokenization_divergence,quote_conversion,descriptive_first_divergence_not_causal_proof,1,1.0,2118.0,9,155.0,16,True,False,False,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,0,8,recorded
failure__5f6f8140a39b227883a877a9,revision_v1_robustness_v2_payload_fidelity_v2__f46d84d67eec87090a43,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,markdown_copy_paste,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,0,raw_transmission,whitespace_or_markup_tokenization_divergence,markdown_copy_paste,descriptive_first_divergence_not_causal_proof,0,1789.0,29.0,8,,16,False,False,True,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,recorded
failure__29aafeede156328f394940d7,revision_v1_robustness_v2_payload_fidelity_v2__864acc67404adf4b6f1f,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,character_insertion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,3,raw_transmission,content_edit_tokenization_divergence,character_insertion,descriptive_first_divergence_not_causal_proof,6,1063.0,12209.0,4,61387.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__73e63ecd759d0fecd952cd7f,revision_v1_robustness_v2_payload_fidelity_v2__db28b29d29022a4784f8,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,character_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,0,raw_transmission,content_edit_tokenization_divergence,character_deletion,descriptive_first_divergence_not_causal_proof,0,1789.0,477.0,8,4068.0,16,True,False,False,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,recorded
failure__cafbea872f7d90cfb629ba2b,revision_v1_robustness_v2_payload_fidelity_v2__7dca2cf42aba7130b9bd,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,character_substitution,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,3,raw_transmission,content_edit_tokenization_divergence,character_substitution,descriptive_first_divergence_not_causal_proof,5,8405.0,2104.0,5,11979.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
